"topic","synonyms"
"terreno {PLANT_NAME}","{PLANT_NAME}"
"clima {PLANT_NAME}","{PLANT_NAME}"
"concime {PLANT_NAME}","{PLANT_NAME}"
"seminare {PLANT_NAME}","{PLANT_NAME}"
"coltivare {PLANT_NAME}","{PLANT_NAME}"
"irrigare {PLANT_NAME}","{PLANT_NAME}"
"potatura {PLANT_NAME}","{PLANT_NAME}"
"malattie {PLANT_NAME}","{PLANT_NAME}"
"parassiti {PLANT_NAME}","{PLANT_NAME}"
"insetti {PLANT_NAME}","{PLANT_NAME}"
"malattie {PLANT_NAME}","{PLANT_NAME}"
"raccolta {PLANT_NAME}","{PLANT_NAME}"
"fiori {PLANT_NAME}","{PLANT_NAME}"
"semi {PLANT_NAME}","{PLANT_NAME}"
"varietà {PLANT_NAME}","{PLANT_NAME}"
